pedido_id,numero_cuota,monto,fecha_vencimiento,estado,is_active
1,1,41266.47,2025-04-07,pendiente,True
2,1,23095.17,2024-12-09,pendiente,True
3,1,6437.92,2025-10-20,pendiente,True
4,1,44913.84,2025-06-27,pendiente,True
5,1,7785.1,2025-11-01,pendiente,True
6,1,969.87,2025-02-22,pendiente,True
6,2,969.87,2025-03-24,pendiente,True
6,3,969.87,2025-04-23,pendiente,True
6,4,969.87,2025-05-23,pendiente,True
6,5,969.87,2025-06-22,pendiente,True
6,6,969.87,2025-07-22,pendiente,True
6,7,969.87,2025-08-21,pendiente,True
6,8,969.87,2025-09-20,pendiente,True
6,9,969.87,2025-10-20,pendiente,True
6,10,969.87,2025-11-19,pendiente,True
6,11,969.87,2025-12-19,pendiente,True
7,1,58483.96,2025-02-25,pendiente,True
8,1,5526.76,2025-12-02,pendiente,True
9,1,13806.17,2025-10-19,pendiente,True
10,1,55839.96,2025-07-02,pendiente,True
11,1,17810.43,2025-11-15,pendiente,True
12,1,636.95,2025-09-14,pendiente,True
12,2,636.95,2025-10-14,pendiente,True
12,3,636.95,2025-11-13,pendiente,True
13,1,8586.48,2025-07-09,pendiente,True
14,1,41976.78,2025-10-01,pendiente,True
15,1,5139.08,2024-12-29,pendiente,True
15,2,5139.08,2025-01-28,pendiente,True
15,3,5139.08,2025-02-27,pendiente,True
15,4,5139.08,2025-03-29,pendiente,True
15,5,5139.08,2025-04-28,pendiente,True
15,6,5139.08,2025-05-28,pendiente,True
15,7,5139.08,2025-06-27,pendiente,True
16,1,13281.12,2025-03-17,pendiente,True
17,1,20839.3,2025-01-10,pendiente,True
18,1,28181.4,2025-05-31,pendiente,True
19,1,5616.17,2025-03-09,pendiente,True
20,1,21646.44,2025-12-03,pendiente,True
21,1,12890.49,2025-11-22,pendiente,True
22,1,17809.4,2025-07-12,pendiente,True
23,1,59771.88,2025-01-06,pendiente,True
24,1,4908.15,2025-04-07,pendiente,True
25,1,10255.98,2025-03-05,pendiente,True
25,2,10255.98,2025-04-04,pendiente,True
25,3,10255.98,2025-05-04,pendiente,True
25,4,10255.98,2025-06-03,pendiente,True
26,1,13101.12,2024-12-25,pendiente,True
27,1,5920.04,2025-10-10,pendiente,True
27,2,5920.04,2025-11-09,pendiente,True
27,3,5920.04,2025-12-09,pendiente,True
27,4,5920.04,2026-01-08,pendiente,True
27,5,5920.04,2026-02-07,pendiente,True
27,6,5920.04,2026-03-09,pendiente,True
27,7,5920.04,2026-04-08,pendiente,True
27,8,5920.04,2026-05-08,pendiente,True
27,9,5920.04,2026-06-07,pendiente,True
28,1,5090.32,2024-12-20,pendiente,True
29,1,2508.25,2025-01-10,pendiente,True
29,2,2508.25,2025-02-09,pendiente,True
29,3,2508.25,2025-03-11,pendiente,True
29,4,2508.25,2025-04-10,pendiente,True
29,5,2508.25,2025-05-10,pendiente,True
29,6,2508.25,2025-06-09,pendiente,True
29,7,2508.25,2025-07-09,pendiente,True
29,8,2508.25,2025-08-08,pendiente,True
29,9,2508.25,2025-09-07,pendiente,True
29,10,2508.25,2025-10-07,pendiente,True
29,11,2508.25,2025-11-06,pendiente,True
29,12,2508.25,2025-12-06,pendiente,True
30,1,18502.05,2025-11-04,pendiente,True
31,1,288.01,2025-10-02,pendiente,True
31,2,288.01,2025-11-01,pendiente,True
31,3,288.01,2025-12-01,pendiente,True
31,4,288.01,2025-12-31,pendiente,True
31,5,288.01,2026-01-30,pendiente,True
31,6,288.01,2026-03-01,pendiente,True
31,7,288.01,2026-03-31,pendiente,True
31,8,288.01,2026-04-30,pendiente,True
31,9,288.01,2026-05-30,pendiente,True
31,10,288.01,2026-06-29,pendiente,True
32,1,120.64,2024-12-31,pendiente,True
32,2,120.64,2025-01-30,pendiente,True
32,3,120.64,2025-03-01,pendiente,True
32,4,120.64,2025-03-31,pendiente,True
32,5,120.64,2025-04-30,pendiente,True
32,6,120.64,2025-05-30,pendiente,True
32,7,120.64,2025-06-29,pendiente,True
32,8,120.64,2025-07-29,pendiente,True
32,9,120.64,2025-08-28,pendiente,True
32,10,120.64,2025-09-27,pendiente,True
32,11,120.64,2025-10-27,pendiente,True
32,12,120.64,2025-11-26,pendiente,True
33,1,19543.05,2025-03-22,pendiente,True
34,1,1848.12,2025-01-12,pendiente,True
34,2,1848.12,2025-02-11,pendiente,True
34,3,1848.12,2025-03-13,pendiente,True
34,4,1848.12,2025-04-12,pendiente,True
34,5,1848.12,2025-05-12,pendiente,True
35,1,26840.76,2025-09-27,pendiente,True
36,1,7421.19,2025-08-26,pendiente,True
36,2,7421.19,2025-09-25,pendiente,True
36,3,7421.19,2025-10-25,pendiente,True
